player_id,first_name,last_name,birth_year,draft_year,draft_pick
266,Jordan,McLaughlin,1996,2018,20
267,Onyeka,Okongwu,2001,2020,6
268,Willy,Hernangomez,1994,2015,35
269,Brad,Wanamaker,1990,2011,20
270,Taurean,Prince,1995,2016,12
271,Tony,Bradley,1998,2017,28
272,Edmond,Sumner,1995,2017,52
273,Markieff,Morris,1990,2011,13
274,Grant,Williams,1999,2019,22
275,Marvin,Bagley III,1999,2018,2
276,Wayne,Ellington,1988,2009,28
277,James,Ennis,1991,2013,50
278,Deni,Avdija,2001,2020,9
279,Denzel,Valentine,1994,2016,14
280,Nicolas,Claxton,1999,2019,31
281,Gorgui,Dieng,1990,2013,21
282,Malik,Monk,1998,2017,11
283,Aleksej,Pokusevski,2001,2020,17
284,Trevor,Ariza,1986,2004,43
285,Goga,Bitadze,2000,2019,18
286,Jalen,McDaniels,1998,2019,52
287,P.J.,Dozier,1997,2017,20
288,Austin,Rivers,1993,2012,10
289,Trey,Burke,1993,2013,9
290,Malachi,Flynn,1998,2020,29
291,Wesley,Matthews,1987,2009,20
292,De'Andre,Hunter,1998,2019,4
293,Moritz,Wagner,1997,2018,25
294,Garrison,Mathews,1997,2019,20
295,James,Wiseman,2001,2020,2
296,Aron,Baynes,1987,2009,20
297,Ty,Jerome,1998,2019,24
298,George,Hill,1986,2008,26
299,LaMarcus,Aldridge,1986,2006,2
300,Isaiah,Hartenstein,1998,2017,43
301,Kira,Lewis,2001,2020,13
302,Eric,Gordon,1988,2008,7
303,Yuta,Watanabe,1995,2018,20
304,Tony,Snell,1992,2013,20
305,Kevin,Porter,2000,2019,30
306,Timothe,Luwawu-Cabarrot,1995,2016,24
307,Saben,Lee,2000,2020,38
308,Cam,Reddish,2000,2019,10
309,Frank,Kaminsky,1993,2015,9
310,Oshae,Brissett,1999,2019,20
311,Gary,Harris,1995,2014,19
312,Jaylen,Nowell,2000,2019,43
313,Obi,Toppin,1998,2020,8
314,John,Konchar,1996,2019,20
315,Cody,Martin,1996,2019,36
316,Mike,Muscala,1992,2013,44
317,Jevon,Carter,1996,2018,32
318,David,Nwaba,1993,2016,20
319,Kevin,Love,1989,2008,5
320,Hassan,Whiteside,1989,2010,33
321,Ben,McLemore,1993,2013,7
322,Jaren,Jackson Jr.,2000,2018,4
323,Moe,Harkless,1993,2012,15
324,R.J.,Hampton,2001,2020,24
325,Mychal,Mulder,1994,2019,20
326,Jake,Layman,1994,2016,47
327,Danuel,House,1993,2016,20
328,Caleb,Martin,1996,2019,20
329,Frank,Jackson,1998,2017,31
330,Damian,Jones,1996,2016,30
331,Otto,Porter,1993,2013,3
332,Naji,Marshall,1998,2020,20
333,Mike,Scott,1989,2012,43
334,Aaron,Nesmith,2000,2020,14
335,J.J.,Redick,1985,2006,11
336,Killian,Hayes,2002,2020,7
337,Nemanja,Bjelica,1988,2010,35
338,Juan,Hernangomez,1996,2016,15
339,Chasson,Randle,1993,2015,20
340,Chimezie,Metu,1997,2018,49
341,Eric,Paschall,1997,2019,41
342,Michael,Carter-Williams,1992,2013,11
343,Semi,Ojeleye,1995,2017,37
344,Precious,Achiuwa,2000,2020,20
345,Dylan,Windler,1997,2020,26
346,Damyean,Dotson,1994,2017,44
347,Rodney,Hood,1993,2014,23
348,Dennis,Smith Jr.,1998,2017,9
349,Gabe,Vincent,1996,2018,20
350,Nassir,Little,2000,2019,25
351,Tyler,Johnson,1992,2013,20
352,Sekou,Doumbouya,2000,2019,15
353,Thanasis,Antetokounmpo,1993,2014,51
354,Justin,Jackson,1995,2017,15
355,Patrick,Patterson,1989,2010,14
356,Javonte,Green,1994,2015,20
357,D.J.,Wilson,1996,2017,17
358,Armoni,Brooks,1998,2019,20
359,Kelan,Martin,1996,2018,20
360,Luke,Kornet,1996,2017,20
361,Freddie,Gillespie,1997,2020,20
362,Dewayne,Dedmon,1990,2013,20
363,Avery,Bradley,1991,2010,19
364,Al-Farouq,Aminu,1991,2010,8
365,Lamar,Stevens,1998,2020,20
366,Boban,Marjanovic,1989,2010,20
367,E'Twaun,Moore,1989,2011,55
368,Jordan,Nwora,1999,2020,45
369,DaQuan,Jeffries,1997,2019,20
370,Max,Strus,1996,2019,20
371,Abdel,Nader,1994,2016,58
372,Ed,Davis,1989,2010,13
373,Troy,Brown Jr,2000,2018,15
374,Brandon,Goodwin,1996,2018,20
375,Kevin,Knox,2000,2018,9
376,Nicolo,Melli,1991,2013,20
377,Alize,Johnson,1996,2018,50
378,Gary,Clark,1995,2018,20
379,Langston,Galloway,1992,2014,20
380,Miye,Oni,1998,2019,58
381,Skylar,Mays,1998,2020,50
382,Zeke,Nnaji,2001,2020,22
383,Harry,Giles,1998,2017,20
384,Nico,Mannion,2001,2020,48
385,Tremont,Waters,1998,2019,51
386,Thomas,Bryant,1998,2017,42
387,Chandler,Hutchison,1996,2018,22
388,Paul,Reed,1999,2020,58
389,Jarrett,Culver,1999,2019,6
390,Shaq,Harrison,1994,2013,20
391,Jahlil,Okafor,1995,2015,3
392,Trent,Forrest,1998,2020,20
393,Justin,Patton,1997,2017,16
394,Ryan,Arcidiacono,1994,2016,20
395,Darius,Miller,1990,2012,46
396,Justise,Winslow,1996,2015,10
397,Isaiah,Joe,2000,2020,49
398,Anthony,Lamb,1998,2020,20
399,Mfiondu,Kabengele,1998,2019,27
400,Tyler,Cook,1998,2019,20
401,Anthony,Gill,1993,2016,20
402,Brodric,Thomas,1998,2020,20
403,Isaac,Bonga,2000,2018,39
404,Wesley,Iwundu,1994,2017,33
405,Sam,Merrill,1996,2020,60
406,Vlatko,Cancar,1997,2017,49
407,Josh,Green,2001,2020,18
408,Jaylen,Hoard,1999,2019,20
409,Nathan,Knight,1998,2020,20
410,Khyri,Thomas,1996,2018,38
411,Paul,Watson,1994,2017,20
412,Amir,Coffey,1998,2019,20
413,JaKarr,Sampson,1993,2014,20
414,Reggie,Perry,2000,2020,57
415,KZ,Okpala,1999,2019,32
416,Glenn,Robinson III,1994,2014,40
417,Jabari,Parker,1995,2014,2
418,Mike,James,1991,2012,20
419,Chris,Chiozza,1996,2018,20
420,Donta,Hall,1998,2019,20
421,Trey,Lyles,1996,2015,12
422,Wenyen,Gabriel,1997,2018,20
423,Frank,Ntilikina,1999,2017,8
424,Romeo,Langford,2000,2019,14
425,Luka,Samanic,2000,2019,19
426,Tre,Jones,2000,2020,41
427,Ersan,Ilyasova,1987,2005,36
428,Jalen,Harris,1999,2020,59
429,Carsen,Edwards,1998,2019,33
430,Rodney,McGruder,1992,2013,20
431,Keita,Bates-Diop,1996,2018,48
432,Matt,Thomas,1995,2017,20
433,Cassius,Winston,,,
434,Anthony,Tolliver,,,
435,Kris,Dunn,,,
436,Bruno,Fernando,,,
437,RJ,Barrett,,,
438,Jared,Harper,,,
439,Kevin,Knox II,,,
440,Norvel,Pelle,,,
441,Theo,Pinson,,,
442,Tim,Frazier,,,
443,Killian,Tillie,,,
444,Jarrell,Brantley,,,
445,Juwan,Morgan,,,
446,Robert,Williams III,,,
447,Jared,Dudley,,,
448,Alfonzo,McKinnie,,,
449,Ty-Shon,Alexander,,,
450,Jalen,Smith,,,
451,Tyler,Bey,,,
452,Nate,Hinton,,,
453,Marcus,Morris Sr.,,,
454,Yogi,Ferrell,,,
455,Udonis,Haslem,,,
456,Elijah,Bryant,,,
